last_name, first_name,player_id,year,slg_percent,on_base_percent,on_base_plus_slg,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,
Bandy, Jett,542908,2018,.266,.268,.533,83.9,26.3,43.9,4.9,22,
Beckham, Tim,542921,2018,.374,.286,.660,87.1,9.8,31.6,5.9,35.3,
Broxton, Keon,542979,2018,.410,.281,.691,85,3,30,6,30,
Crawford, Brandon,543063,2018,.394,.325,.719,87.5,11.3,37.2,3.6,33.3,
Cron, C.J.,543068,2018,.493,.323,.816,88,15.2,34.6,12.2,36.3,
Galloway, Isaac,543194,2018,.391,.297,.688,84.5,17.2,36.4,6.8,22.7,
Gomes, Yan,543228,2018,.449,.313,.762,88.9,18.7,41.5,8.4,38.7,
Grossman, Robbie,543257,2018,.384,.366,.749,87.1,15.1,34.1,2.2,28.4,
Harrison, Josh,543281,2018,.363,.291,.655,85.9,15.7,36.4,4.2,25.4,
Hendricks, Kyle,543294,2018,.083,.091,.174,83,4.8,12.1,0,15.2,
Herrmann, Chris,543302,2018,.421,.322,.743,90,17.5,35.8,7.5,52.8,
Hicks, Aaron,543305,2018,.467,.365,.832,89.7,13.4,34,8.8,43.2,
Hicks, John,543308,2018,.403,.311,.714,88,14.6,33,5.8,34,
Higashioka, Kyle,543309,2018,.319,.241,.560,88.4,28,30.4,10.7,30.4,
Hosmer, Eric,543333,2018,.398,.322,.720,88.7,-1.5,26.3,5.9,38.2,
Joseph, Caleb,543376,2018,.321,.254,.574,85.2,13,39.2,1.5,29.4,
Kipnis, Jason,543401,2018,.389,.314,.703,86.9,17.8,34.4,6.6,31.6,
Mahtook, Mikie,543484,2018,.359,.276,.635,87.9,12.4,28.1,6.3,35,
McCann, James,543510,2018,.314,.267,.581,87.8,16.2,37.7,5.1,37.4,
Miller, Brad,543543,2018,.413,.311,.724,91.1,11.2,36.7,11.3,48.3,
Rendon, Anthony,543685,2018,.535,.374,.909,90.6,17.8,39.6,10.1,44.2,
Roark, Tanner,543699,2018,.259,.200,.459,82.8,-1.5,20.5,0,18.2,
Semien, Marcus,543760,2018,.388,.317,.705,86.8,15.5,34.9,4.5,32.1,
Shaw, Travis,543768,2018,.480,.344,.824,88.9,16.9,31.2,10.3,38.3,
Shuck, JB,543776,2018,.231,.254,.484,84.6,7,24.8,0,24.8,
Springer III, George,543807,2018,.434,.344,.777,88.7,9.5,30.1,8.9,37.5,
Strange-Gordon, Dee,543829,2018,.349,.284,.633,83.6,5.8,30.2,0.2,12.5,
Vazquez, Christian,543877,2018,.283,.257,.539,87.4,13,32.7,1.9,29,
Wong, Kolten,543939,2018,.388,.327,.715,87.6,9.1,26.5,3.3,30.6,
Gregorius, Didi,544369,2018,.494,.334,.828,87,16,32.6,4.7,31.1,
Garcia, Leury,544725,2018,.376,.298,.674,88,6.8,34,2.6,31.6,
Strasburg, Stephen,544931,2018,.122,.137,.259,89.9,-7.9,13.5,2.7,27,
Grichuk, Randal,545341,2018,.502,.301,.803,90.7,18.7,35.1,14.4,43.4,
Marisnick, Jake,545350,2018,.399,.272,.671,86.7,19.5,35.1,8.4,31.3,
Stassi, Max,545358,2018,.394,.316,.710,89.9,5.8,28.6,8.8,45.6,
Trout, Mike,545361,2018,.628,.459,1.087,91.2,18.6,41.3,16.8,45.6,
Herrera, Odubel,546318,2018,.420,.310,.730,87.1,13.2,28.8,4.9,31.9,
Almora Jr., Albert,546991,2018,.378,.322,.700,86.5,8.3,29.8,1.4,27.4,
Delmonico, Nicky,547170,2018,.373,.296,.669,86.8,14.6,34.6,5.9,34.6,
Wolters, Tony,547172,2018,.286,.292,.577,85,4.9,24.5,3.3,21.9,
Harper, Bryce,547180,2018,.496,.393,.889,91,14.5,35.1,11.5,45.4,
Perez, Roberto,547379,2018,.263,.248,.510,90.8,8.3,28,5.9,42.6,
Martin, Leonys,547982,2018,.425,.323,.747,89.1,18.3,34.6,10.7,38.7,
Abreu, Jose,547989,2018,.473,.325,.798,91.3,12.2,35.4,9.1,44.9,
Diaz, Elias,553869,2018,.452,.339,.792,89.6,10.4,35.3,6.5,40.5,
Narvaez, Omar,553882,2018,.429,.363,.792,85.6,12.9,43.8,2.8,25.3,
Astudillo, Willians,553902,2018,.516,.371,.887,87.3,12.1,38.5,5.5,29.7,
Machado, Dixon,553988,2018,.290,.262,.552,85.7,11,34.3,3.4,25.7,
Suarez, Eugenio,553993,2018,.526,.366,.892,91.2,14.8,38.6,9.7,45.6,
Wheeler, Zack,554430,2018,.232,.183,.415,81.8,12.1,33.3,0,7.7,
Polanco, Gregory,570256,2018,.499,.338,.837,88.9,20.1,33.6,9.4,37.8,
Santana, Domingo,570267,2018,.412,.328,.740,89.1,11.7,36.5,10.2,39.7,
Gonzalez, Erik,570481,2018,.375,.301,.676,90.3,3.2,31.4,2.9,43,
Sanchez, Yolmer,570560,2018,.372,.305,.677,86.7,9.3,35.1,3,28.3,
Urena, Jose,570632,2018,.063,.058,.120,83.8,4.6,6.3,0,12.5,
Schoop, Jonathan,570731,2018,.416,.265,.682,86.4,11.4,31.1,5.2,30.3,
Villanueva, Christian,570799,2018,.450,.299,.750,86.7,20.8,33.5,9.7,31.3,
Adams, Matt,571431,2018,.477,.309,.786,88.8,19.4,35.6,10.3,40.3,
Altherr, Aaron,571437,2018,.333,.295,.628,90.4,10.2,30.5,9.7,45.8,
Arenado, Nolan,571448,2018,.561,.373,.934,89.8,15.3,35.6,7.2,40.5,
Barnhart, Tucker,571466,2018,.372,.326,.697,87.1,12.4,35.7,3.5,30.3,
Bour, Justin,571506,2018,.404,.341,.746,89.1,9.9,33.4,10.3,39,
Corbin, Patrick,571578,2018,.213,.209,.422,81.8,-4.9,22.5,0,10,
Cuevas, Noel,571595,2018,.315,.268,.583,86.4,11.2,28.7,1.6,27,
Davidson, Matt,571602,2018,.419,.319,.738,90,13.8,36,12.1,42.3,
Farmer, Kyle,571657,2018,.324,.312,.635,86.5,12.3,25.9,0,33.3,
Freitas, David,571679,2018,.312,.264,.576,90.6,10.5,37.7,5.8,35.3,
Gennett, Scooter,571697,2018,.490,.356,.846,87.4,14,37.7,6,31.9,
Goodwin, Brian,571718,2018,.390,.317,.707,88.5,12.3,35.6,8.7,37.9,
Hamilton, Billy,571740,2018,.327,.299,.626,80.5,15.3,36.6,0.5,8.5,
Haniger, Mitch,571745,2018,.493,.366,.859,90.2,12.7,36.5,10.3,43,
Hernandez, Enrique,571771,2018,.470,.333,.803,89,16.4,28.8,7.2,36.7,
Holt, Brock,571788,2018,.411,.362,.774,87.9,6.8,33.2,3.6,30.8,
Kieboom, Spencer,571851,2018,.320,.322,.642,84.7,12.4,34.7,1,20.4,
Lamb, Jake,571875,2018,.348,.307,.655,88.2,5,31.5,6.2,37.9,
Maile, Luke,571912,2018,.366,.333,.700,89.3,11.1,30.7,5.1,43.1,
Marrero, Deven,571918,2018,.205,.224,.429,87.1,6.2,32.1,5.4,25,
Matz, Steven,571927,2018,.261,.151,.412,79.2,9.7,32.4,2.7,8.1,
Mikolas, Miles,571945,2018,.254,.155,.409,84.7,6.3,16.7,5.6,16.7,
Muncy, Max,571970,2018,.582,.391,.973,90.5,18.3,36.8,16.9,46,
Murphy, John Ryan,571974,2018,.375,.242,.617,87.4,22.3,30.7,10,31.4,
